function,slot,fixed,sentinel,symbolic
tp_account_get_requested_presence,1,,,
tp_account_get_requested_presence,2,,,
tp_account_get_service,0,,,
tp_account_get_storage_identifier,0,,,
tp_account_get_storage_provider,0,,,
tp_account_get_storage_restrictions,0,,,
tp_account_get_storage_specific_information_async,0,,,
tp_account_get_storage_specific_information_async,1,,,
tp_account_get_storage_specific_information_async,2,,,
tp_account_get_storage_specific_information_finish,0,,,
tp_account_get_storage_specific_information_finish,1,,,
tp_account_get_supersedes,0,,,
tp_account_get_uri_schemes,0,,,
tp_account_is_enabled,0,,,
tp_account_is_prepared,0,,,
tp_account_is_prepared,1,,,
tp_account_is_valid,0,,,
tp_account_manager_create_account_async,0,,,
tp_account_manager_create_account_async,1,,NUL,
tp_account_manager_create_account_async,2,,NUL,
tp_account_manager_create_account_async,3,,NUL,
tp_account_manager_create_account_async,4,,NUL,
tp_account_manager_create_account_async,5,,NUL,
tp_account_manager_create_account_async,6,,,
tp_account_manager_create_account_async,7,,,
tp_account_manager_create_account_finish,0,,,
tp_account_manager_create_account_finish,1,,,
tp_account_manager_dup_valid_accounts,0,,,
tp_account_manager_enable_restart,0,,,
tp_account_manager_ensure_account,0,,,
tp_account_manager_ensure_account,1,,NUL,
tp_account_manager_get_most_available_presence,0,,,
tp_account_manager_get_most_available_presence,1,,,
tp_account_manager_get_most_available_presence,2,,,
tp_account_manager_get_valid_accounts,0,,,
tp_account_manager_is_prepared,0,,,
tp_account_manager_is_prepared,1,,,
tp_account_manager_prepare_async,0,,,
tp_account_manager_prepare_async,1,,,
tp_account_manager_prepare_async,2,,,
tp_account_manager_prepare_async,3,,,
tp_account_manager_prepare_finish,0,,,
tp_account_manager_prepare_finish,1,,,
tp_account_manager_set_all_requested_presences,0,,,
tp_account_manager_set_all_requested_presences,1,,,
tp_account_manager_set_all_requested_presences,2,,NUL,
tp_account_manager_set_all_requested_presences,3,,NUL,
tp_account_manager_set_default,0,,,
tp_account_parse_object_path,0,,NUL,
tp_account_parse_object_path,1,,,
tp_account_parse_object_path,2,,,
tp_account_parse_object_path,3,,,
tp_account_prepare_async,0,,,
tp_account_prepare_async,1,,NUL,
tp_account_prepare_async,2,,,
tp_account_prepare_async,3,,,
tp_account_prepare_finish,0,,,
tp_account_prepare_finish,1,,,
tp_account_reconnect_async,0,,,
tp_account_reconnect_async,1,,,
tp_account_reconnect_async,2,,,
tp_account_reconnect_finish,0,,,
tp_account_reconnect_finish,1,,,
tp_account_remove_async,0,,,
tp_account_remove_async,1,,,
tp_account_remove_async,2,,,
tp_account_remove_finish,0,,,
tp_account_remove_finish,1,,,
tp_account_request_add_supersedes,0,,,
tp_account_request_add_supersedes,1,,NUL,
tp_account_request_create_account_async,0,,,
tp_account_request_create_account_async,1,,,
tp_account_request_create_account_async,2,,,
tp_account_request_create_account_finish,0,,,
tp_account_request_create_account_finish,1,,,
tp_account_request_presence_async,0,,,
tp_account_request_presence_async,1,,,
tp_account_request_presence_async,2,,,
tp_account_request_presence_async,3,,,
tp_account_request_presence_async,4,,,
tp_account_request_presence_async,5,,,
tp_account_request_presence_finish,0,,,
tp_account_request_presence_finish,1,,,
tp_account_request_set_automatic_presence,0,,,
tp_account_request_set_automatic_presence,1,,,
tp_account_request_set_automatic_presence,2,,NUL,
tp_account_request_set_automatic_presence,3,,NUL,
tp_account_request_set_avatar,0,,,
tp_account_request_set_avatar,1,,,
tp_account_request_set_avatar,2,,,
tp_account_request_set_avatar,3,,NUL,
tp_account_request_set_connect_automatically,0,,,
tp_account_request_set_connect_automatically,1,,,
tp_account_request_set_display_name,0,,,
tp_account_request_set_display_name,1,,NUL,
