function,slot,fixed,sentinel,symbolic
clutter_actor_get_clip_to_allocation,0,,,
clutter_actor_get_constraint,0,,,
clutter_actor_get_constraint,1,,NUL,
clutter_actor_get_constraints,0,,,
clutter_actor_get_content,0,,,
clutter_actor_get_content_box,0,,,
clutter_actor_get_content_box,1,,,
clutter_actor_get_content_gravity,0,,,
clutter_actor_get_content_repeat,0,,,
clutter_actor_get_content_scaling_filters,0,,,
clutter_actor_get_content_scaling_filters,1,,,
clutter_actor_get_content_scaling_filters,2,,,
clutter_actor_get_default_paint_volume,0,,,
clutter_actor_get_depth,0,,,
clutter_actor_get_easing_delay,0,,,
clutter_actor_get_easing_duration,0,,,
clutter_actor_get_easing_mode,0,,,
clutter_actor_get_effect,0,,,
clutter_actor_get_effect,1,,NUL,
clutter_actor_get_effects,0,,,
clutter_actor_get_first_child,0,,,
clutter_actor_get_fixed_position_set,0,,,
clutter_actor_get_flags,0,,,
clutter_actor_get_geometry,0,,,
clutter_actor_get_geometry,1,,,
clutter_actor_get_gid,0,,,
clutter_actor_get_height,0,,,
clutter_actor_get_last_child,0,,,
clutter_actor_get_layout_manager,0,,,
clutter_actor_get_margin,0,,,
clutter_actor_get_margin,1,,,
clutter_actor_get_margin_bottom,0,,,
clutter_actor_get_margin_left,0,,,
clutter_actor_get_margin_right,0,,,
clutter_actor_get_margin_top,0,,,
clutter_actor_get_n_children,0,,,
clutter_actor_get_name,0,,,
clutter_actor_get_next_sibling,0,,,
clutter_actor_get_offscreen_redirect,0,,,
clutter_actor_get_opacity,0,,,
clutter_actor_get_paint_box,0,,,
clutter_actor_get_paint_box,1,,,
clutter_actor_get_paint_opacity,0,,,
clutter_actor_get_paint_visibility,0,,,
clutter_actor_get_paint_volume,0,,,
clutter_actor_get_pango_context,0,,,
clutter_actor_get_parent,0,,,
clutter_actor_get_pivot_point,0,,,
clutter_actor_get_pivot_point,1,,,
clutter_actor_get_pivot_point,2,,,
clutter_actor_get_pivot_point_z,0,,,
clutter_actor_get_position,0,,,
clutter_actor_get_position,1,,,
clutter_actor_get_position,2,,,
clutter_actor_get_preferred_height,0,,,
clutter_actor_get_preferred_height,1,,,
clutter_actor_get_preferred_height,2,,,
clutter_actor_get_preferred_height,3,,,
clutter_actor_get_preferred_size,0,,,
clutter_actor_get_preferred_size,1,,,
clutter_actor_get_preferred_size,2,,,
clutter_actor_get_preferred_size,3,,,
clutter_actor_get_preferred_size,4,,,
clutter_actor_get_preferred_width,0,,,
clutter_actor_get_preferred_width,1,,,
clutter_actor_get_preferred_width,2,,,
clutter_actor_get_preferred_width,3,,,
clutter_actor_get_previous_sibling,0,,,
clutter_actor_get_reactive,0,,,
clutter_actor_get_request_mode,0,,,
clutter_actor_get_rotation,0,,,
clutter_actor_get_rotation,1,,,
clutter_actor_get_rotation,2,,,
clutter_actor_get_rotation,3,,,
clutter_actor_get_rotation,4,,,
clutter_actor_get_rotation_angle,0,,,
clutter_actor_get_rotation_angle,1,,,
clutter_actor_get_scale,0,,,
clutter_actor_get_scale,1,,,
clutter_actor_get_scale,2,,,
clutter_actor_get_scale_center,0,,,
clutter_actor_get_scale_center,1,,,
clutter_actor_get_scale_center,2,,,
clutter_actor_get_scale_gravity,0,,,
clutter_actor_get_scale_z,0,,,
clutter_actor_get_shader,0,,,
clutter_actor_get_size,0,,,
clutter_actor_get_size,1,,,
clutter_actor_get_size,2,,,
clutter_actor_get_stage,0,,,
clutter_actor_get_text_direction,0,,,
clutter_actor_get_transform,0,,,
clutter_actor_get_transform,1,,,
clutter_actor_get_transformation_matrix,0,,,
clutter_actor_get_transformation_matrix,1,,,
clutter_actor_get_transformed_paint_volume,0,,,
clutter_actor_get_transformed_paint_volume,1,,,
clutter_actor_get_transformed_position,0,,,
clutter_actor_get_transformed_position,1,,,
clutter_actor_get_transformed_position,2,,,
clutter_actor_get_transformed_size,0,,,
clutter_actor_get_transformed_size,1,,,
clutter_actor_get_transformed_size,2,,,
clutter_actor_get_transition,0,,,
clutter_actor_get_transition,1,,NUL,
clutter_actor_get_translation,0,,,
clutter_actor_get_translation,1,,,
clutter_actor_get_translation,2,,,
clutter_actor_get_translation,3,,,
clutter_actor_get_width,0,,,
clutter_actor_get_x,0,,,
clutter_actor_get_x_align,0,,,
clutter_actor_get_x_expand,0,,,
clutter_actor_get_y,0,,,
clutter_actor_get_y_align,0,,,
clutter_actor_get_y_expand,0,,,
clutter_actor_get_z_position,0,,,
clutter_actor_get_z_rotation_gravity,0,,,
clutter_actor_grab_key_focus,0,,,
clutter_actor_has_actions,0,,,
clutter_actor_has_allocation,0,,,
clutter_actor_has_clip,0,,,
clutter_actor_has_constraints,0,,,
clutter_actor_has_effects,0,,,
clutter_actor_has_key_focus,0,,,
clutter_actor_has_overlaps,0,,,
clutter_actor_has_pointer,0,,,
clutter_actor_hide,0,,,
clutter_actor_hide_all,0,,,
clutter_actor_insert_child_above,0,,,
clutter_actor_insert_child_above,1,,,
clutter_actor_insert_child_above,2,,,
clutter_actor_insert_child_at_index,0,,,
clutter_actor_insert_child_at_index,1,,,
clutter_actor_insert_child_at_index,2,,,
clutter_actor_insert_child_below,0,,,
clutter_actor_insert_child_below,1,,,
clutter_actor_insert_child_below,2,,,
clutter_actor_is_in_clone_paint,0,,,
clutter_actor_is_rotated,0,,,
clutter_actor_is_scaled,0,,,
clutter_actor_iter_destroy,0,,,
clutter_actor_iter_init,0,,,
clutter_actor_iter_init,1,,,
clutter_actor_iter_is_valid,0,,,
clutter_actor_iter_next,0,,,
clutter_actor_iter_next,1,,,
clutter_actor_iter_prev,0,,,
clutter_actor_iter_prev,1,,,
clutter_actor_iter_remove,0,,,
clutter_actor_lower,0,,,
clutter_actor_lower,1,,,
clutter_actor_lower_bottom,0,,,
clutter_actor_map,0,,,
clutter_actor_meta_get_actor,0,,,
clutter_actor_meta_get_enabled,0,,,
clutter_actor_meta_get_name,0,,,
clutter_actor_meta_set_enabled,0,,,
clutter_actor_meta_set_enabled,1,,,
clutter_actor_meta_set_name,0,,,
clutter_actor_meta_set_name,1,,NUL,
clutter_actor_move_anchor_point,0,,,
clutter_actor_move_anchor_point,1,,,
clutter_actor_move_anchor_point,2,,,
clutter_actor_move_anchor_point_from_gravity,0,,,
clutter_actor_move_anchor_point_from_gravity,1,,,
clutter_actor_move_by,0,,,
clutter_actor_move_by,1,,,
clutter_actor_move_by,2,,,
clutter_actor_needs_expand,0,,,
clutter_actor_needs_expand,1,,,
clutter_actor_paint,0,,,
clutter_actor_pop_internal,0,,,
clutter_actor_push_internal,0,,,
clutter_actor_queue_redraw,0,,,
clutter_actor_queue_redraw_with_clip,0,,,
clutter_actor_queue_redraw_with_clip,1,,,
clutter_actor_queue_relayout,0,,,
clutter_actor_raise,0,,,
clutter_actor_raise,1,,,
clutter_actor_raise_top,0,,,
clutter_actor_realize,0,,,
clutter_actor_remove_action,0,,,
clutter_actor_remove_action,1,,,
clutter_actor_remove_action_by_name,0,,,
clutter_actor_remove_action_by_name,1,,NUL,
clutter_actor_remove_all_children,0,,,
clutter_actor_remove_all_transitions,0,,,
clutter_actor_remove_child,0,,,
clutter_actor_remove_child,1,,,
clutter_actor_remove_clip,0,,,
clutter_actor_remove_constraint,0,,,
