function,slot,fixed,sentinel,symbolic
gtk_action_disconnect_accelerator,0,,,
gtk_action_get_accel_closure,0,,,
gtk_action_get_accel_path,0,,,
gtk_action_get_always_show_image,0,,,
gtk_action_get_gicon,0,,,
gtk_action_get_icon_name,0,,,
gtk_action_get_is_important,0,,,
gtk_action_get_label,0,,,
gtk_action_get_name,0,,,
gtk_action_get_proxies,0,,,
gtk_action_get_sensitive,0,,,
gtk_action_get_short_label,0,,,
gtk_action_get_stock_id,0,,,
gtk_action_get_tooltip,0,,,
gtk_action_get_visible,0,,,
gtk_action_get_visible_horizontal,0,,,
gtk_action_get_visible_vertical,0,,,
gtk_action_group_add_action,0,,,
gtk_action_group_add_action,1,,,
gtk_action_group_add_action_with_accel,0,,,
gtk_action_group_add_action_with_accel,1,,,
gtk_action_group_add_action_with_accel,2,,NUL,
gtk_action_group_add_actions,0,,,
gtk_action_group_add_actions,1,,,2
gtk_action_group_add_actions,2,,,
gtk_action_group_add_actions,3,,,
gtk_action_group_add_actions_full,0,,,
gtk_action_group_add_actions_full,1,,,2
gtk_action_group_add_actions_full,2,,,
gtk_action_group_add_actions_full,3,,,
gtk_action_group_add_actions_full,4,,,
gtk_action_group_add_radio_actions,0,,,
gtk_action_group_add_radio_actions,1,,,2
gtk_action_group_add_radio_actions,2,,,
gtk_action_group_add_radio_actions,3,,,
gtk_action_group_add_radio_actions,4,,,
gtk_action_group_add_radio_actions,5,,,
gtk_action_group_add_radio_actions_full,0,,,
gtk_action_group_add_radio_actions_full,1,,,2
gtk_action_group_add_radio_actions_full,2,,,
gtk_action_group_add_radio_actions_full,3,,,
gtk_action_group_add_radio_actions_full,4,,,
gtk_action_group_add_radio_actions_full,5,,,
gtk_action_group_add_radio_actions_full,6,,,
gtk_action_group_add_toggle_actions,0,,,
gtk_action_group_add_toggle_actions,1,,,2
gtk_action_group_add_toggle_actions,2,,,
gtk_action_group_add_toggle_actions,3,,,
gtk_action_group_add_toggle_actions_full,0,,,
gtk_action_group_add_toggle_actions_full,1,,,2
